,,,,,,,,
1,Company Name,HR/Recruiter Designation,How to Reach,LinkedIn Recruiting Page,Careers Page,Company LinkedIn,Location,Tips to Connect
16,Swiggy,Talent Acquisition,careers@swiggy.in,https://www.linkedin.com/company/swiggy/jobs/,https://careers.swiggy.com/,https://www.linkedin.com/company/swiggy/,Koramangala,Apply via careers.swiggy.com; referrals boost chances
17,PhonePe,People Team,careers@phonepe.com,https://www.linkedin.com/company/phonepe-internet/jobs/,https://www.phonepe.com/careers/,https://www.linkedin.com/company/phonepe-internet/,Koramangala,Apply on website; campus hiring from top colleges
18,Meesho,Talent Team,careers@meesho.com,https://www.linkedin.com/company/meesho/jobs/,https://meesho.io/careers,https://www.linkedin.com/company/meesho/,Koramangala,Apply via meesho.io; strong product thinking valued
19,Groww,Talent Team,careers@groww.in,https://www.linkedin.com/company/groww/jobs/,https://groww.in/careers,https://www.linkedin.com/company/groww/,Koramangala,Apply on website; FinTech interest helps
20,Zerodha,People Ops,jobs@zerodha.com,https://www.linkedin.com/company/zerodha/jobs/,https://zerodha.com/careers,https://www.linkedin.com/company/zerodha/,JP Nagar,Email directly or apply on website; selective hiring
21,Postman,People Team,careers@postman.com,https://www.linkedin.com/company/postman-platform/jobs/,https://www.postman.com/careers/,https://www.linkedin.com/company/postman-platform/,Koramangala,Apply via website; contribute to Postman open source
22,Atlassian India,Talent Acquisition,careers@atlassian.com,https://www.linkedin.com/company/atlassian/jobs/,https://www.atlassian.com/company/careers,https://www.linkedin.com/company/atlassian/,Koramangala,Apply on website; values-based interview process
23,Salesforce India,University Programs,sfdc-campus@salesforce.com,https://www.linkedin.com/company/salesforce/jobs/,https://www.salesforce.com/in/company/careers/,https://www.linkedin.com/company/salesforce/,Prestige Tech Park,Apply via Futureforce program; Trailhead badges help
24,Goldman Sachs BLR,Campus Recruiting,goldmancampus@gs.com,https://www.linkedin.com/company/goldman-sachs/jobs/,https://www.goldmansachs.com/careers/,https://www.linkedin.com/company/goldman-sachs/,Manyata Tech Park,Apply on GS website; practice HackerRank contests
25,SAP Labs India,University Relations,careers-india@sap.com,https://www.linkedin.com/company/sap/jobs/,https://www.sap.com/careers.html,https://www.linkedin.com/company/sap/,Whitefield,Apply via SAP iXP program for freshers
26,Oracle India,Campus Team,oracle-campus@oracle.com,https://www.linkedin.com/company/oracle/jobs/,https://www.oracle.com/in/careers/,https://www.linkedin.com/company/oracle/,Whitefield,Apply on oracle.com; aptitude + coding rounds
27,Adobe India,University Recruiting,adobe-campus@adobe.com,https://www.linkedin.com/company/adobe/jobs/,https://www.adobe.com/careers.html,https://www.linkedin.com/company/adobe/,Koramangala,Apply via Adobe Careers; strong DS/Algo prep needed
28,Walmart Global Tech,People Team,careers@walmart.com,https://www.linkedin.com/company/walmart/jobs/,https://careers.walmart.com/,https://www.linkedin.com/company/walmart/,Bellandur,Apply on careers.walmart.com; campus hiring focused
29,Target India,Talent Acquisition,targetcareers@target.com,https://www.linkedin.com/company/target/jobs/,https://corporate.target.com/careers,https://www.linkedin.com/company/target/,Manyata Tech Park,Apply via Target website; hackathons help
30,JP Morgan Chase,Campus Recruiting,jpmc-campus@jpmorgan.com,https://www.linkedin.com/company/jpmorganchase/jobs/,https://careers.jpmorgan.com/,https://www.linkedin.com/company/jpmorganchase/,Whitefield,Join Code for Good hackathon for direct entry
31,Freshworks,Talent Acquisition,careers@freshworks.com,https://www.linkedin.com/company/freshworks-inc/jobs/,https://www.freshworks.com/careers/,https://www.linkedin.com/company/freshworks-inc/,Koramangala,Apply via website; Chennai HQ also hires
32,BrowserStack,People Team,hiring@browserstack.com,https://www.linkedin.com/company/browserstack/jobs/,https://www.browserstack.com/careers,https://www.linkedin.com/company/browserstack/,Indiranagar,Apply via website; strong problem-solving valued
33,Juspay,Talent Team,careers@juspay.in,https://www.linkedin.com/company/juspay/jobs/,https://juspay.in/careers,https://www.linkedin.com/company/juspay/,HSR Layout,Functional programming knowledge is a plus
34,Myntra,People Team,careers@myntra.com,https://www.linkedin.com/company/myntra/jobs/,https://www.myntra.com/careers,https://www.linkedin.com/company/myntra/,Koramangala,Apply on website; Flipkart group hiring process
